"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Rob Gronkowski","NE","5.1","72.3","0.5","0.1","10.2"
"Zach Ertz","PHI","5.4","61.4","0.4","0.1","8.6"
"Travis Kelce","KC","5.0","60.6","0.4","0.0","8.4"
"Jordan Reed","WAS","4.4","45.4","0.5","0.0","7.3"
"George Kittle","SF","3.9","47.1","0.3","0.0","6.7"
"Evan Engram","NYG","4.3","45.7","0.3","0.0","6.3"
"Kyle Rudolph","MIN","3.9","40.3","0.4","0.0","6.3"
"Jimmy Graham","GB","3.7","39.2","0.4","0.1","6.3"
"Jared Cook","OAK","3.7","46.2","0.2","0.0","5.8"
"Trey Burton","CHI","3.5","39.0","0.3","0.0","5.8"
"Jack Doyle","IND","4.4","42.0","0.3","0.1","5.7"
"David Njoku","CLE","3.2","37.3","0.3","0.0","5.3"
"Will Dissly","SEA","3.0","34.7","0.3","0.0","5.0"
"Austin Seferian-Jenkins","JAC","3.3","34.4","0.3","0.1","4.9"
"Benjamin Watson","NO","3.0","30.8","0.3","0.0","4.8"
"Charles Clay","BUF","3.4","36.0","0.2","0.1","4.6"
"Ricky Seals-Jones","ARI","2.4","30.4","0.3","0.0","4.6"
"Tyler Eifert","CIN","2.6","29.6","0.3","0.0","4.6"
"Austin Hooper","ATL","2.8","29.1","0.3","0.0","4.6"
"Vance McDonald","PIT","2.3","30.2","0.3","0.0","4.5"
"Eric Ebron","IND","2.8","30.5","0.3","0.0","4.5"
"O.J. Howard","TB","2.5","32.8","0.2","0.1","4.3"
"Ian Thomas","CAR","2.4","26.8","0.2","0.0","3.8"
"Jonnu Smith","TEN","2.3","24.8","0.2","0.0","3.7"
"Cameron Brate","TB","2.1","24.4","0.2","0.0","3.7"
"Ryan Griffin","HOU","2.2","25.4","0.2","0.0","3.5"
"Dallas Goedert","PHI","2.1","23.2","0.2","0.0","3.4"
"Antonio Gates","LAC","1.9","21.0","0.2","0.0","3.4"
"Jake Butt","DEN","2.1","22.7","0.2","0.0","3.3"
"Mike Gesicki","MIA","2.3","23.8","0.2","0.0","3.3"
"Luke Willson","DET","1.9","21.2","0.2","0.0","3.2"
"Vernon Davis","WAS","1.7","22.6","0.2","0.1","3.1"
"Hayden Hurst","BAL","1.9","21.3","0.1","0.0","2.9"
"Jesse James","PIT","2.0","19.9","0.1","0.0","2.8"
"Nick Vannett","SEA","1.8","18.3","0.1","0.0","2.7"
"Luke Stocker","TEN","1.5","16.0","0.1","0.0","2.5"
"Virgil Green","LAC","1.6","17.2","0.1","0.0","2.4"
"Geoff Swaim","DAL","1.5","15.6","0.1","0.0","2.4"
"Garrett Celek","SF","1.1","13.4","0.2","0.0","2.3"
