"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Antonio Brown","PIT","7.2","100.9","0.7","0.0","0.2","0.0","0.0","14.3"
"Michael Thomas","NO","7.1","88.9","0.6","0.0","0.0","0.0","0.1","12.2"
"DeAndre Hopkins","HOU","6.2","88.1","0.5","0.1","0.0","0.0","0.1","11.9"
"Odell Beckham Jr.","NYG","7.1","86.9","0.5","0.2","1.0","0.0","0.0","11.9"
"Julio Jones","ATL","6.0","90.8","0.4","0.1","0.7","0.0","0.0","11.7"
"Keenan Allen","LAC","6.1","79.7","0.4","0.1","0.3","0.0","0.0","10.5"
"A.J. Green","CIN","5.6","74.9","0.5","0.0","0.0","0.0","0.1","10.3"
"Davante Adams","GB","5.2","65.5","0.6","0.0","0.0","0.0","0.0","10.1"
"Tyreek Hill","KC","5.1","68.7","0.4","1.2","7.1","0.0","0.0","10.0"
"Adam Thielen","MIN","5.5","76.4","0.4","0.1","0.4","0.0","0.1","9.7"
"Stefon Diggs","MIN","5.1","66.8","0.5","0.5","2.4","0.0","0.1","9.6"
"T.Y. Hilton","IND","4.6","71.4","0.4","0.0","0.0","0.0","0.1","9.6"
"Mike Evans","TB","5.0","70.4","0.4","0.0","0.0","0.0","0.0","9.5"
"Demaryius Thomas","DEN","5.5","67.2","0.5","0.0","0.0","0.0","0.1","9.4"
"JuJu Smith-Schuster","PIT","4.7","64.2","0.5","0.0","0.0","0.0","0.0","9.2"
"Jarvis Landry","CLE","6.4","70.8","0.4","0.1","0.1","0.0","0.1","9.1"
"Emmanuel Sanders","DEN","5.3","66.0","0.4","0.0","0.0","0.0","0.0","9.0"
"Marvin Jones","DET","4.0","62.1","0.5","0.0","0.0","0.0","0.1","9.0"
"Golden Tate","DET","5.9","67.6","0.3","0.2","1.0","0.0","0.1","8.7"
"Brandin Cooks","LAR","4.0","57.7","0.4","0.6","3.0","0.0","0.0","8.7"
"Nelson Agholor","PHI","4.9","58.9","0.4","0.4","2.6","0.0","0.0","8.4"
"Allen Robinson","CHI","4.2","58.3","0.4","0.0","0.0","0.0","0.0","8.3"
"Amari Cooper","OAK","4.5","59.8","0.4","0.1","0.4","0.0","0.0","8.2"
"Larry Fitzgerald","ARI","6.5","65.2","0.3","0.0","0.0","0.0","0.1","8.2"
"Corey Davis","TEN","5.0","58.9","0.4","0.0","0.0","0.0","0.1","8.1"
"Josh Gordon","CLE","4.0","60.6","0.3","0.0","0.3","0.0","0.0","8.0"
"Kenny Stills","MIA","4.0","59.5","0.3","0.0","0.0","0.0","0.0","7.9"
"Chris Hogan","NE","3.7","53.1","0.4","0.2","1.1","0.0","0.0","7.8"
"Robert Woods","LAR","4.4","55.7","0.3","0.1","0.6","0.0","0.0","7.6"
"Devin Funchess","CAR","3.8","53.7","0.4","0.0","0.0","0.0","0.0","7.6"
"Michael Crabtree","BAL","4.8","50.8","0.4","0.0","0.0","0.0","0.0","7.6"
"Quincy Enunwa","NYJ","4.1","52.2","0.4","0.0","0.2","0.0","0.0","7.5"
"Randall Cobb","GB","4.9","52.8","0.3","0.6","2.1","0.0","0.0","7.4"
"Cooper Kupp","LAR","4.1","50.1","0.4","0.1","0.4","0.0","0.1","7.1"
"Marquise Goodwin","SF","3.4","53.0","0.3","0.2","1.5","0.0","0.0","7.1"
"Kenny Golladay","DET","3.6","55.3","0.3","0.1","0.5","0.0","0.0","7.1"
"Jamison Crowder","WAS","4.2","52.4","0.3","0.3","1.7","0.0","0.1","7.0"
"Sterling Shepard","NYG","4.7","53.4","0.3","0.1","0.6","0.0","0.0","6.9"
"Will Fuller","HOU","3.3","47.0","0.4","0.2","0.7","0.0","0.0","6.9"
"Robby Anderson","NYJ","3.6","49.2","0.3","0.2","0.5","0.0","0.0","6.9"
"Tyler Lockett","SEA","3.8","51.3","0.2","0.5","3.3","0.0","0.0","6.9"
"Brandon Marshall","SEA","4.1","50.4","0.3","0.0","0.1","0.0","0.0","6.7"
"Pierre Garcon","SF","4.2","53.4","0.2","0.0","0.0","0.0","0.0","6.7"
"Ted Ginn","NO","3.3","46.3","0.3","0.6","2.9","0.0","0.0","6.7"
"Sammy Watkins","KC","3.2","46.5","0.3","0.0","0.0","0.0","0.0","6.6"
"Jordy Nelson","OAK","4.1","43.7","0.4","0.1","0.4","0.0","0.0","6.5"
"Josh Doctson","WAS","2.7","40.1","0.4","0.0","-0.1","0.0","0.0","6.3"
"Kelvin Benjamin","BUF","3.5","46.9","0.3","0.0","0.0","0.0","0.1","6.2"
"Paul Richardson","WAS","3.1","45.8","0.3","0.0","0.0","0.0","0.0","6.2"
"Mohamed Sanu","ATL","3.8","42.3","0.3","0.2","0.6","0.0","0.0","6.0"
"Keelan Cole","JAC","3.2","46.9","0.2","0.0","0.0","0.0","0.0","6.0"
"DeSean Jackson","TB","3.2","45.4","0.2","0.1","0.8","0.0","0.0","5.8"
"Tyrell Williams","LAC","2.7","40.5","0.3","0.0","0.0","0.0","0.0","5.6"
"Mike Wallace","PHI","2.8","41.6","0.2","0.0","0.2","0.0","0.0","5.6"
"Allen Hurns","DAL","3.2","41.9","0.2","0.0","0.0","0.0","0.0","5.5"
"Ryan Grant","IND","3.2","39.3","0.3","0.0","0.0","0.0","0.0","5.5"
