"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Buffalo Bills","","2.7","1.2","0.6","1.1","0.2","0.0","16.8","304.8","8.7"
"San Francisco 49ers","","2.9","1.0","0.7","1.3","0.2","0.1","16.9","295.1","8.5"
"Arizona Cardinals","","3.2","0.9","0.6","1.1","0.2","0.0","19.8","298.6","8.3"
"Kansas City Chiefs","","3.3","0.8","0.6","0.9","0.2","0.0","19.7","329.1","8.1"
"Chicago Bears","","2.6","1.0","0.7","1.1","0.2","0.0","18.3","320.8","8.0"
"Pittsburgh Steelers","","2.7","0.8","0.7","1.0","0.1","0.0","16.7","308.3","7.5"
"Baltimore Ravens","","3.2","1.0","0.7","1.0","0.1","0.0","20.0","341.5","7.4"
"Tennessee Titans","","2.7","0.7","0.6","0.8","0.2","0.0","17.8","328.1","7.2"
"Cleveland Browns","","2.7","0.9","0.6","1.1","0.2","0.0","20.1","337.9","6.8"
"Washington Football Team","","3.0","0.9","0.6","1.0","0.1","0.0","25.2","353.0","6.7"
"Tampa Bay Buccaneers","","2.6","0.8","0.7","1.3","0.2","0.1","20.5","333.7","6.7"
"New England Patriots","","3.0","0.8","0.6","0.9","0.1","0.0","22.2","361.4","6.6"
"Los Angeles Rams","","2.8","0.7","0.7","1.1","0.1","0.0","22.3","338.8","6.6"
"Green Bay Packers","","2.6","0.9","0.5","0.7","0.1","0.0","21.5","372.2","6.4"
"Dallas Cowboys","","2.7","0.8","0.6","1.0","0.1","0.0","22.5","393.5","6.4"
"Indianapolis Colts","","2.6","0.7","0.7","1.1","0.1","0.1","22.0","345.1","6.3"
"Cincinnati Bengals","","2.3","1.0","0.5","0.7","0.2","0.0","23.8","365.1","6.3"
"Seattle Seahawks","","2.2","0.9","0.7","1.1","0.2","0.0","20.9","342.2","6.3"
"Jacksonville Jaguars","","3.0","0.7","0.6","0.7","0.1","0.0","25.2","369.1","6.3"
"New Orleans Saints","","2.4","0.7","0.7","1.0","0.1","0.0","20.8","351.1","6.1"
"Miami Dolphins","","2.4","0.8","0.6","0.8","0.1","0.0","23.8","366.9","6.1"
"New York Jets","","2.5","0.8","0.6","0.9","0.1","0.0","23.6","343.8","6.1"
"Minnesota Vikings","","2.2","0.9","0.6","1.0","0.1","0.0","22.4","348.8","6.0"
"Philadelphia Eagles","","2.0","0.9","0.5","0.8","0.1","0.0","21.7","365.9","5.8"
"New York Giants","","2.4","0.8","0.5","0.7","0.1","0.0","23.6","325.6","5.8"
"Denver Broncos","","1.9","0.8","0.6","0.9","0.1","0.0","22.8","350.6","5.5"
"Atlanta Falcons","","2.2","0.7","0.5","0.7","0.1","0.0","27.1","406.1","5.5"
"Carolina Panthers","","2.2","0.7","0.6","0.8","0.1","0.0","27.4","364.5","5.4"
"Houston Texans","","2.1","0.7","0.6","0.9","0.1","0.0","27.0","397.1","5.4"
"Detroit Lions","","2.4","0.5","0.6","0.8","0.1","0.0","25.8","364.2","5.3"
"Los Angeles Chargers","","1.9","0.6","0.5","0.6","0.1","0.0","25.7","388.6","4.8"
"Las Vegas Raiders","","1.6","0.7","0.5","0.7","0.1","0.0","25.7","378.3","4.6"
""
""
