"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","15.8","69.7","0.5","6.3","54.6","0.4","0.0","17.6"
"Ezekiel Elliott","DAL","19.2","83.3","0.6","3.3","27.3","0.2","0.1","15.6"
"Dalvin Cook","MIN","16.9","76.5","0.6","3.7","33.6","0.1","0.2","15.1"
"Saquon Barkley","NYG","16.6","78.0","0.5","4.2","33.2","0.2","0.0","15.0"
"Josh Jacobs","LV","19.8","91.6","0.7","1.9","13.8","0.1","0.1","14.9"
"Derrick Henry","TEN","18.0","89.5","0.7","1.5","12.1","0.1","0.1","14.8"
"Joe Mixon","CIN","18.1","81.8","0.5","2.4","20.3","0.1","0.0","13.9"
"Austin Ekeler","LAC","9.3","48.1","0.3","4.7","49.9","0.4","0.1","13.8"
"Alvin Kamara","NO","12.0","56.6","0.5","5.1","39.1","0.2","0.0","5.7"
"Miles Sanders","PHI","13.7","70.1","0.4","3.1","31.0","0.2","0.1","5.4"
"Clyde Edwards-Helaire","KC","13.2","63.2","0.5","3.2","26.0","0.2","0.1","13.1"
"James Conner","PIT","14.0","61.9","0.5","3.6","25.9","0.2","0.1","12.6"
"Aaron Jones","GB","13.2","63.4","0.6","3.0","20.6","0.1","0.1","12.5"
"Kenyan Drake","ARI","12.8","63.9","0.4","3.3","26.8","0.1","0.1","12.1"
"Nick Chubb","CLE","14.5","76.8","0.5","2.0","13.5","0.1","0.1","12.0"
"Chris Carson","SEA","17.0","74.2","0.4","2.2","15.8","0.1","0.2","11.9"
"Todd Gurley","ATL","14.1","57.8","0.5","2.6","20.5","0.1","0.1","11.6"
"Mark Ingram II","BAL","11.5","55.7","0.5","2.0","16.3","0.1","0.1","10.4"
"David Johnson","HOU","14.1","50.5","0.3","3.0","28.9","0.1","0.1","10.3"
"Melvin Gordon","DEN","14.6","51.8","0.4","2.8","21.9","0.1","0.1","10.1"
"Le'Veon Bell","NYJ","14.5","56.0","0.2","3.7","26.8","0.1","0.1","9.8"
"Jonathan Taylor","IND","12.8","52.1","0.4","2.3","17.1","0.1","0.1","9.7"
"Raheem Mostert","SF","11.4","58.0","0.5","1.6","10.6","0.1","0.2","9.7"
"Devin Singletary","BUF","10.3","57.3","0.2","2.7","20.2","0.1","0.1","9.7"
"Sony Michel","NE","15.6","63.9","0.3","1.2","7.1","0.0","0.1","9.0"
"Antonio Gibson","WAS","10.3","47.2","0.2","3.1","23.1","0.1","0.1","9.0"
"Marlon Mack","IND","12.7","55.0","0.4","1.1","7.3","0.0","0.0","8.9"
"Jordan Howard","MIA","13.1","55.4","0.3","1.5","9.0","0.0","0.0","8.3"
"Ronald Jones II","TB","10.0","44.0","0.3","2.0","17.6","0.1","0.1","7.9"
"Kerryon Johnson","DET","10.5","46.3","0.2","2.0","14.5","0.1","0.1","7.7"
"Kareem Hunt","CLE","7.8","33.1","0.2","3.3","26.4","0.1","0.0","7.6"
"Cam Akers","LAR","11.3","37.8","0.3","2.0","14.2","0.1","0.1","7.1"
"James White","NE","3.8","14.8","0.1","4.4","38.6","0.2","0.0","6.9"
"Tarik Cohen","CHI","7.8","25.7","0.1","3.9","30.0","0.1","0.1","6.9"
"David Montgomery","CHI","9.8","48.1","0.2","1.2","7.9","0.0","0.1","6.7"
"Phillip Lindsay","DEN","10.4","42.2","0.2","1.8","10.5","0.0","0.0","6.5"
"Devine Ozigbo","JAC","8.3","38.3","0.2","2.0","12.9","0.0","0.1","6.3"
"Leonard Fournette","TB","13.1","38.0","0.2","2.0","13.3","0.0","0.0","6.3"
"J.K. Dobbins","BAL","10.3","35.4","0.2","1.7","11.1","0.1","0.1","6.0"
"Zack Moss","BUF","10.5","34.6","0.2","1.8","12.4","0.0","0.1","6.0"
"Malcolm Brown","LAR","4.6","35.0","0.3","0.8","5.3","0.0","0.0","5.9"
"Tevin Coleman","SF","9.2","31.9","0.2","1.4","10.2","0.1","0.0","5.7"
"Latavius Murray","NO","10.8","35.0","0.2","1.4","8.9","0.0","0.0","5.5"
"D'Andre Swift","DET","9.8","30.7","0.1","2.1","14.0","0.1","0.0","5.5"
"Tony Pollard","DAL","8.4","32.9","0.1","2.1","11.8","0.1","0.1","5.4"
"Duke Johnson","HOU","4.0","18.3","0.1","3.1","28.2","0.1","0.1","5.4"
"Alexander Mattison","MIN","8.4","36.3","0.1","1.5","8.5","0.0","0.1","5.3"
"Boston Scott","PHI","9.9","30.8","0.1","1.9","12.1","0.0","0.0","5.3"
"Jerick McKinnon","SF","7.7","26.5","0.1","2.4","16.2","0.1","0.0","5.2"
"Chris Thompson","JAC","3.8","16.7","0.0","3.4","28.8","0.1","0.0","5.2"
"Rex Burkhead","NE","6.8","24.8","0.1","1.7","15.1","0.1","0.0","5.0"
"Joshua Kelley","LAC","9.5","28.8","0.2","1.6","10.2","0.0","0.0","4.9"
"Darrel Williams","KC","9.7","25.9","0.1","3.1","13.1","0.0","0.1","4.9"
"Adrian Peterson","DET","10.1","33.7","0.1","1.2","7.5","0.0","0.1","4.9"
"Matt Breida","MIA","9.2","30.6","0.1","1.7","11.8","0.0","0.0","4.8"
"Bryce Love","WAS","8.0","30.9","0.1","1.7","9.1","0.0","0.0","4.7"
"Jalen Richard","LV","4.4","18.2","0.1","2.1","17.5","0.1","0.1","4.3"
"Benny Snell Jr.","PIT","6.4","28.3","0.1","0.8","4.9","0.0","0.1","4.1"
"Nyheim Hines","IND","4.0","14.3","0.1","2.4","19.4","0.0","0.0","4.0"
"Jamaal Williams","GB","6.0","20.3","0.1","2.0","12.7","0.0","0.0","3.9"
"Frank Gore","NYJ","8.9","26.2","0.1","0.9","6.1","0.0","0.0","3.7"
"Darrell Henderson","LAR","7.0","24.7","0.1","1.2","7.0","0.0","0.0","3.7"
"Carlos Hyde","SEA","8.3","26.4","0.1","1.0","4.8","0.0","0.1","3.7"
"Darrynton Evans","TEN","6.6","21.3","0.1","1.5","9.4","0.0","0.0","3.7"
"Ryan Nall","CHI","6.0","22.8","0.1","1.0","5.0","0.0","0.0","3.6"
"James Robinson","JAC","7.8","22.7","0.1","1.3","7.7","0.0","0.0","3.5"
"Giovani Bernard","CIN","5.0","16.5","0.1","1.7","13.2","0.0","0.0","3.5"
"A.J. Dillon","GB","7.1","23.0","0.1","1.3","6.8","0.0","0.0","3.5"
"Chase Edmonds","ARI","5.9","20.0","0.1","1.4","9.3","0.0","0.0","3.4"
"Justin Jackson","LAC","4.4","19.5","0.1","1.2","7.9","0.0","0.0","3.3"
"Brian Hill","ATL","4.3","21.2","0.1","0.9","6.1","0.0","0.0","3.3"
"LeSean McCoy","TB","4.6","15.7","0.1","1.3","7.6","0.0","0.0","2.9"
"Ito Smith","ATL","3.9","13.7","0.1","1.4","8.6","0.0","0.0","2.9"
"Peyton Barber","WAS","5.3","18.4","0.1","1.0","5.2","0.0","0.0","2.8"
"Gus Edwards","BAL","3.0","18.0","0.1","0.5","1.9","0.0","0.0","2.6"
"Anthony McFarland Jr.","PIT","3.8","13.2","0.0","1.3","6.9","0.0","0.0","2.3"
"Royce Freeman","DEN","2.5","10.7","0.1","1.1","5.9","0.0","0.0","2.1"
"Myles Gaskin","MIA","0.9","10.3","0.1","0.7","5.3","0.0","0.0","1.9"
"Jaylen Samuels","PIT","2.4","6.9","0.0","1.3","8.1","0.0","0.0","1.7"
"Dion Lewis","NYG","3.0","9.0","0.0","1.0","5.5","0.0","0.0","1.7"
"Lamical Perine","NYJ","3.2","9.7","0.0","0.8","4.2","0.0","0.0","1.6"
"Jason Huntley","PHI","0.0","5.6","0.0","0.8","5.5","0.0","0.0","1.6"
"Kyle Juszczyk","SF","0.8","1.9","0.0","1.4","10.9","0.1","0.1","1.5"
"DeeJay Dallas","SEA","2.8","8.5","0.0","0.7","3.7","0.0","0.0","1.5"
"J.D. McKissic","WAS","2.0","4.9","0.0","1.1","6.8","0.0","0.0","1.4"
"Ke'Shawn Vaughn","TB","2.7","8.9","0.0","0.9","3.9","0.0","0.0","1.3"
"Mike Boone","MIN","1.2","7.8","0.0","0.3","1.9","0.0","0.0","1.3"
"Darwin Thompson","KC","1.5","6.7","0.0","0.5","3.0","0.0","0.0","1.3"
"Reggie Bonnafon","CAR","2.2","8.0","0.0","0.4","1.7","0.0","0.0","1.2"
"Lynn Bowden Jr.","MIA","2.5","7.5","0.0","1.0","3.1","0.0","0.0","1.0"
"Travis Homer","SEA","1.2","4.2","0.0","0.6","3.7","0.0","0.0","1.0"
"Eno Benjamin","ARI","1.7","5.6","0.0","0.5","2.2","0.0","0.0","0.9"
"Ty Montgomery","NO","0.8","3.6","0.0","0.5","3.6","0.0","0.0","0.9"
"Corey Clement","PHI","1.1","4.1","0.0","0.5","2.7","0.0","0.0","0.9"
"Devontae Booker","LV","1.0","3.4","0.0","0.6","4.0","0.0","0.0","0.9"
"Wayne Gallman","NYG","1.2","5.1","0.0","0.6","2.0","0.0","0.0","0.8"
"CJ Ham","MIN","0.7","1.6","0.0","0.7","4.4","0.0","0.0","0.8"
"Justice Hill","BAL","1.3","4.2","0.0","0.7","1.9","0.0","0.0","0.7"
"Jordan Wilkins","IND","1.5","5.0","0.0","0.4","0.9","0.0","0.0","0.7"
"Patrick Laird","MIA","1.3","4.3","0.0","0.5","1.9","0.0","0.0","0.7"
"Mike Davis","CAR","1.4","3.0","0.0","0.6","3.1","0.0","0.0","0.7"
"Ryquell Armstead","JAC","1.7","3.8","0.0","1.4","2.8","0.0","0.0","0.7"
"DeAndre Washington","KC","2.1","4.3","0.0","0.7","2.3","0.0","0.0","0.6"
"T.J. Yeldon","BUF","0.7","2.0","0.0","0.6","2.8","0.0","0.0","0.5"
"Qadree Ollison","ATL","1.2","3.5","0.0","0.3","1.1","0.0","0.0","0.5"
"Alec Ingold","LV","0.5","1.7","0.0","0.3","1.8","0.0","0.0","0.4"
"Trayveon Williams","CIN","1.1","2.2","0.0","0.3","1.8","0.0","0.0","0.4"
"Patrick Ricard","BAL","0.3","0.6","0.0","0.4","2.5","0.0","0.0","0.4"
"Ameer Abdullah","MIN","0.5","2.0","0.0","0.3","1.4","0.0","0.0","0.4"
"Trenton Cannon","CAR","0.1","1.3","0.0","0.2","1.6","0.0","0.0","0.4"
"Buddy Howell","HOU","0.6","1.4","0.0","0.3","1.3","0.0","0.0","0.3"
"Elijhaa Penny","NYG","0.2","1.4","0.0","0.2","1.2","0.0","0.0","0.3"
"Jeff Wilson","SF","0.5","2.0","0.0","0.1","0.3","0.0","0.0","0.3"
"Taiwan Jones","BUF","0.0","0.1","0.0","0.2","2.6","0.0","0.0","0.3"
"Andy Janovich","CLE","0.4","1.2","0.0","0.3","1.5","0.0","0.0","0.3"
"Derek Watt","PIT","0.2","0.6","0.0","0.2","1.3","0.0","0.0","0.3"
"Keith Smith","ATL","0.3","1.0","0.0","0.2","1.2","0.0","0.0","0.3"
"Anthony Sherman","KC","0.2","0.4","0.0","0.2","1.5","0.0","0.0","0.3"
"Khari Blasingame","TEN","0.4","0.7","0.0","0.2","1.5","0.0","0.0","0.3"
"Tyler Ervin","GB","0.3","1.0","0.0","0.2","1.0","0.0","0.0","0.2"
"Alex Armah","CAR","0.4","1.0","0.0","0.1","0.7","0.0","0.0","0.2"
"D'Ernest Johnson","CLE","0.2","0.4","0.0","0.2","1.5","0.0","0.0","0.2"
"Artavis Pierce","CHI","0.5","1.5","0.0","0.2","0.6","0.0","0.0","0.2"
"Jakob Johnson","NE","0.3","1.0","0.0","0.2","0.8","0.0","0.0","0.2"
"Ty Johnson","DET","0.5","1.5","0.0","0.2","0.6","0.0","0.0","0.2"
"Jonathan Williams","DET","0.2","0.6","0.0","0.1","0.6","0.0","0.0","0.2"
"Andrew Beck","DEN","0.1","0.3","0.0","0.2","1.2","0.0","0.0","0.2"
"Dwayne Washington","NO","0.2","0.8","0.0","0.1","0.3","0.0","0.0","0.1"
"Nick Bellore","SEA","0.1","0.1","0.0","0.1","0.7","0.0","0.0","0.1"
"Rod Smith","NYG","0.2","0.6","0.0","0.1","0.4","0.0","0.0","0.1"
"Samaje Perine","CIN","0.2","0.7","0.0","0.1","0.3","0.0","0.0","0.1"
"Michael Burton","NO","0.1","0.3","0.0","0.1","0.5","0.0","0.0","0.1"
"J.J. Taylor","NE","0.3","0.8","0.0","0.1","0.3","0.0","0.0","0.1"
"Cullen Gillaspia","HOU","0.1","0.4","0.0","0.1","0.3","0.0","0.0","0.0"
"Damarea Crockett","GB","0.1","0.2","0.0","0.0","0.2","0.0","0.0","0.0"
"Dontrell Hilliard","CLE","0.1","0.3","0.0","0.1","0.3","0.0","0.0","0.0"
