"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","6.0","73.1","0.6","0.0","10.7"
"Mark Andrews","BAL","4.9","64.4","0.7","0.0","10.5"
"Darren Waller","LV","5.4","64.7","0.4","0.1","8.7"
"Jared Cook","NO","4.2","54.7","0.5","0.0","8.3"
"Zach Ertz","PHI","5.3","55.6","0.5","0.1","8.2"
"Dallas Goedert","PHI","4.3","46.2","0.5","0.0","7.4"
"T.J. Hockenson","DET","4.0","46.0","0.4","0.0","7.1"
"Hunter Henry","LAC","4.4","52.3","0.3","0.0","6.8"
"Jonnu Smith","TEN","3.5","40.9","0.4","0.0","6.8"
"Tyler Higbee","LAR","4.7","53.1","0.2","0.0","6.6"
"Chris Herndon IV","NYJ","4.4","47.3","0.3","0.1","6.5"
"Hayden Hurst","ATL","3.9","45.0","0.2","0.0","5.9"
"Noah Fant","DEN","3.7","46.8","0.2","0.0","5.9"
"Evan Engram","NYG","4.3","46.5","0.2","0.0","5.9"
"Austin Hooper","CLE","3.6","41.9","0.2","0.0","5.6"
"Mike Gesicki","MIA","4.1","43.0","0.2","0.1","5.2"
"Rob Gronkowski","TB","2.8","36.9","0.2","0.0","4.8"
"O.J. Howard","TB","2.8","35.9","0.2","0.0","4.7"
"Logan Thomas","WAS","3.5","34.7","0.2","0.0","4.5"
"Jimmy Graham","CHI","2.9","33.7","0.2","0.0","4.3"
"Darren Fells","HOU","2.4","25.1","0.3","0.0","4.3"
"Eric Ebron","PIT","2.9","34.3","0.1","0.0","4.3"
"Greg Olsen","SEA","2.6","31.3","0.2","0.0","4.1"
"Kyle Rudolph","MIN","2.7","27.4","0.2","0.0","3.9"
"Tyler Eifert","JAC","2.7","30.7","0.1","0.0","3.7"
"Dawson Knox","BUF","2.3","28.3","0.1","0.0","3.4"
"Ian Thomas","CAR","2.9","27.2","0.1","0.0","3.4"
"Irv Smith Jr.","MIN","2.6","25.5","0.1","0.0","3.2"
"Dan Arnold","ARI","1.8","22.5","0.1","0.0","3.1"
"Ryan Izzo","NE","1.7","20.9","0.2","0.0","3.0"
"Jordan Reed","SF","2.4","23.8","0.1","0.0","3.0"
"Dalton Schultz","DAL","2.1","22.9","0.1","0.0","2.8"
"Jordan Akins","HOU","2.0","22.7","0.1","0.0","2.8"
"Taysom Hill","NO","1.7","18.2","0.2","0.0","2.8"
"Anthony Firkser","TEN","1.5","18.5","0.1","0.0","2.6"
"Will Dissly","SEA","1.5","19.0","0.1","0.0","2.5"
"Gerald Everett","LAR","1.7","19.3","0.1","0.0","2.5"
"Nick Boyle","BAL","2.0","19.3","0.1","0.0","2.4"
"Mo Alie-Cox","IND","1.6","18.8","0.1","0.0","2.4"
"Vance McDonald","PIT","1.9","18.2","0.1","0.0","2.3"
"Harrison Bryant","CLE","1.3","15.3","0.1","0.0","2.2"
"Robert Tonyan","GB","1.3","14.4","0.1","0.0","2.1"
"Cameron Brate","TB","1.3","12.7","0.1","0.0","2.0"
"Jason Witten","LV","1.6","15.1","0.1","0.0","1.9"
"Cole Kmet","CHI","1.3","13.7","0.1","0.0","1.9"
"Josh Hill","NO","1.4","13.6","0.1","0.0","1.9"
"Ryan Griffin","NYJ","1.4","13.5","0.1","0.0","1.8"
"James O'Shaughnessy","JAC","1.4","14.1","0.1","0.0","1.8"
"MyCole Pruitt","TEN","1.0","11.3","0.1","0.0","1.8"
"Blake Bell","DAL","1.1","12.1","0.1","0.0","1.7"
"Jaeden Graham","ATL","1.1","13.0","0.1","0.0","1.6"
"Kaden Smith","NYG","1.2","12.2","0.1","0.0","1.6"
"Jace Sternberger","GB","1.2","13.0","0.0","0.0","1.6"
"Jesse James","DET","1.1","12.6","0.0","0.0","1.5"
"Josiah Deguara","GB","1.1","11.5","0.1","0.0","1.5"
"Devin Asiasi","NE","1.0","11.6","0.0","0.0","1.4"
"Maxx Williams","ARI","1.0","11.1","0.1","0.0","1.4"
"Brycen Hopkins","LAR","0.7","8.0","0.1","0.0","1.4"
"Virgil Green","LAC","1.0","10.2","0.1","0.0","1.4"
"Marcedes Lewis","GB","0.8","9.5","0.1","0.0","1.3"
"Jacob Hollister","SEA","1.1","11.3","0.0","0.0","1.3"
"Foster Moreau","LV","0.8","7.9","0.1","0.0","1.3"
"Noah Togiai","IND","0.7","5.8","0.1","0.0","1.2"
"Demetrius Harris","CHI","0.7","7.6","0.1","0.0","1.1"
"Nick Vannett","DEN","1.0","9.4","0.0","0.0","1.1"
"Drew Sample","CIN","0.9","9.0","0.0","0.0","1.1"
"Luke Stocker","ATL","0.9","8.1","0.0","0.0","1.0"
"Ricky Seals-Jones","KC","0.5","5.9","0.1","0.0","1.0"
"Tyler Kroft","BUF","0.7","7.9","0.0","0.0","1.0"
"Chris Manhertz","CAR","0.7","7.6","0.0","0.0","1.0"
"Jeremy Sprinkle","WAS","0.8","8.2","0.0","0.0","0.9"
"Andrew Beck","DEN","0.7","6.2","0.1","0.0","0.9"
"Levine Toilolo","NYG","0.6","7.2","0.0","0.0","0.9"
