"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Michael Thomas","NO","7.9","94.4","0.6","0.0","0.3","0.0","0.1","12.8"
"Davante Adams","GB","6.8","84.0","0.6","0.0","0.0","0.0","0.0","11.6"
"Tyreek Hill","KC","5.1","73.0","0.5","1.0","6.1","0.1","0.0","11.1"
"Julio Jones","ATL","6.2","90.3","0.3","0.0","0.2","0.0","0.0","11.0"
"Chris Godwin","TB","5.4","75.6","0.4","0.2","0.9","0.0","0.0","10.0"
"Mike Evans","TB","5.1","73.4","0.4","0.0","0.2","0.0","0.0","9.6"
"Kenny Golladay","DET","4.5","68.8","0.4","0.1","0.4","0.0","0.0","9.4"
"Calvin Ridley","ATL","4.8","64.9","0.5","0.2","1.3","0.0","0.0","9.4"
"D.J. Moore","CAR","5.4","73.1","0.3","0.7","4.3","0.0","0.1","9.3"
"Tyler Lockett","SEA","4.6","65.8","0.4","0.4","2.0","0.0","0.0","9.2"
"Allen Robinson","CHI","5.6","70.8","0.3","0.2","0.7","0.0","0.0","9.1"
"Cooper Kupp","LAR","5.2","66.4","0.4","0.0","0.3","0.0","0.0","9.1"
"DeAndre Hopkins","ARI","5.4","70.3","0.3","0.0","0.2","0.0","0.0","9.1"
"Adam Thielen","MIN","4.8","65.4","0.4","0.2","1.8","0.0","0.0","9.0"
"Amari Cooper","DAL","4.9","67.0","0.4","0.1","0.5","0.0","0.0","9.0"
"Robert Woods","LAR","5.3","66.4","0.3","0.4","3.6","0.0","0.0","8.7"
"JuJu Smith-Schuster","PIT","5.0","65.2","0.4","0.0","0.1","0.0","0.0","8.6"
"DeVante Parker","MIA","4.7","67.5","0.3","0.0","0.2","0.0","0.0","8.5"
"A.J. Brown","TEN","3.8","61.2","0.3","0.5","2.6","0.0","0.0","8.3"
"Terry McLaurin","WAS","4.4","63.8","0.3","0.2","0.5","0.0","0.0","8.2"
"T.Y. Hilton","IND","4.2","63.6","0.3","0.1","0.3","0.0","0.0","8.2"
"Courtland Sutton","DEN","4.4","65.2","0.3","0.0","0.7","0.0","0.0","8.2"
"Keenan Allen","LAC","5.3","63.7","0.3","0.4","2.1","0.0","0.0","8.1"
"Odell Beckham Jr.","CLE","4.6","64.0","0.3","0.0","0.3","0.0","0.0","8.0"
"D.K. Metcalf","SEA","4.1","57.5","0.4","0.1","0.4","0.0","0.1","8.0"
"Michael Gallup","DAL","4.0","62.1","0.3","0.1","0.3","0.0","0.0","7.9"
"Will Fuller","HOU","4.3","57.9","0.3","0.2","1.1","0.0","0.0","7.9"
"A.J. Green","CIN","4.2","61.9","0.3","0.0","0.0","0.0","0.0","7.9"
"Stefon Diggs","BUF","4.1","55.5","0.3","0.3","1.9","0.0","0.0","7.7"
"DeSean Jackson","PHI","3.8","57.0","0.3","0.4","2.1","0.0","0.0","7.6"
"Marvin Jones","DET","3.9","55.3","0.3","0.0","0.2","0.0","0.0","7.5"
"Julian Edelman","NE","4.7","57.7","0.2","0.2","2.1","0.0","0.0","7.3"
"Diontae Johnson","PIT","4.6","54.5","0.3","0.5","2.0","0.0","0.1","7.3"
"Jarvis Landry","CLE","4.8","58.7","0.2","0.3","1.0","0.0","0.1","7.3"
"D.J. Chark","JAC","4.4","57.4","0.2","0.2","1.1","0.0","0.0","7.2"
"Tyler Boyd","CIN","4.5","53.9","0.2","0.4","2.0","0.0","0.0","7.1"
"Jamison Crowder","NYJ","4.6","54.1","0.3","0.2","0.6","0.0","0.0","7.0"
"Anthony Miller","CHI","3.9","48.3","0.3","0.3","1.4","0.0","0.0","6.9"
"Preston Williams","MIA","4.2","54.3","0.2","0.1","0.3","0.0","0.0","6.8"
"Marquise Brown","BAL","3.8","47.9","0.3","0.2","0.5","0.0","0.0","6.7"
"Sammy Watkins","KC","3.3","49.3","0.3","0.1","0.6","0.0","0.0","6.7"
"Sterling Shepard","NYG","4.3","51.5","0.2","0.3","1.7","0.0","0.0","6.6"
"Deebo Samuel","SF","3.6","44.7","0.2","0.9","6.5","0.1","0.0","6.5"
"Christian Kirk","ARI","4.2","49.4","0.2","0.3","1.9","0.0","0.0","6.5"
"John Brown","BUF","3.2","47.1","0.3","0.3","1.3","0.0","0.0","6.4"
"Darius Slayton","NYG","3.4","47.6","0.2","0.2","0.8","0.0","0.0","6.3"
"Golden Tate","NYG","4.1","48.3","0.2","0.3","0.7","0.0","0.0","6.3"
"Breshad Perriman","NYJ","2.9","48.2","0.2","0.2","1.1","0.0","0.0","6.2"
"Brandin Cooks","HOU","3.3","47.6","0.2","0.5","2.4","0.0","0.0","6.1"
"Steven Sims","WAS","3.8","43.0","0.2","0.7","3.2","0.0","0.0","6.0"
"Emmanuel Sanders","NO","3.7","46.8","0.2","0.0","0.3","0.0","0.0","6.0"
"Hunter Renfrow","LV","3.6","43.8","0.3","0.2","0.6","0.0","0.0","5.9"
"CeeDee Lamb","DAL","3.6","45.0","0.2","0.2","0.9","0.0","0.0","5.9"
"N'Keal Harry","NE","3.4","43.4","0.2","0.1","1.7","0.0","0.0","5.7"
