"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Los Angeles Rams","","3.1","1.1","0.7","1.0","0.3","0.0","16.6","305.1","9.4"
"Los Angeles Chargers","","2.8","1.3","0.6","0.7","0.2","0.0","17.5","300.7","8.8"
"Chicago Bears","","3.1","0.8","0.6","1.0","0.2","0.1","19.1","339.5","8.5"
"Philadelphia Eagles","","2.2","1.2","0.8","1.3","0.2","0.0","18.6","333.3","8.5"
"New Orleans Saints","","3.2","0.8","0.7","1.0","0.2","0.0","19.2","376.6","8.4"
"Baltimore Ravens","","2.5","1.0","0.7","1.2","0.2","0.0","18.7","284.4","8.2"
"Washington Redskins","","2.7","1.2","0.7","1.0","0.3","0.1","21.1","337.9","8.1"
"Tennessee Titans","","2.9","1.1","0.7","1.0","0.2","0.0","21.9","331.0","7.8"
"New York Jets","","2.1","1.0","0.6","0.9","0.2","0.0","18.9","325.8","7.6"
"Seattle Seahawks","","2.7","0.7","0.7","1.0","0.2","0.1","19.6","294.0","7.5"
"Detroit Lions","","2.2","1.1","0.7","1.2","0.3","0.0","24.6","362.9","7.5"
"Dallas Cowboys","","2.1","0.9","0.7","1.2","0.2","0.0","19.2","334.4","7.5"
"Minnesota Vikings","","2.8","0.9","0.6","0.9","0.2","0.0","21.2","311.5","7.1"
"Denver Broncos","","2.1","0.9","0.7","1.1","0.2","0.0","20.1","317.8","6.9"
"Miami Dolphins","","2.4","0.9","0.7","1.0","0.2","0.0","22.7","337.3","6.9"
"Houston Texans","","2.5","1.0","0.7","0.9","0.2","0.0","23.5","327.2","6.9"
"Atlanta Falcons","","2.4","0.8","0.7","1.0","0.2","0.0","20.5","325.3","6.6"
"Jacksonville Jaguars","","2.4","0.8","0.7","1.0","0.2","0.1","24.3","364.1","6.6"
"Pittsburgh Steelers","","2.6","0.9","0.5","0.6","0.2","0.0","25.1","371.1","6.5"
"Arizona Cardinals","","2.0","0.8","0.7","1.3","0.2","0.1","26.0","336.7","6.3"
"Kansas City Chiefs","","1.4","1.1","0.6","1.0","0.2","0.0","27.9","401.6","6.2"
"Green Bay Packers","","2.2","0.8","0.7","0.9","0.2","0.0","24.5","356.3","6.2"
"Oakland Raiders","","1.9","0.8","0.7","1.1","0.2","0.0","24.7","352.1","6.1"
"Tampa Bay Buccaneers","","1.7","0.8","0.8","1.4","0.2","0.0","24.0","396.2","6.1"
"Carolina Panthers","","2.3","0.7","0.7","0.9","0.2","0.0","24.2","348.2","6.1"
"New England Patriots","","2.1","0.8","0.6","0.8","0.2","0.0","21.9","371.4","6.0"
"San Francisco 49ers","","2.0","0.8","0.7","1.0","0.2","0.0","24.4","383.0","5.9"
"Cincinnati Bengals","","2.0","0.9","0.5","0.5","0.2","0.0","21.2","327.6","5.7"
"New York Giants","","1.8","0.8","0.5","0.9","0.2","0.0","22.9","345.9","5.6"
"Buffalo Bills","","1.5","0.9","0.6","0.8","0.2","0.0","24.9","391.6","5.5"
"Indianapolis Colts","","1.8","0.6","0.7","1.2","0.1","0.0","27.1","372.5","5.2"
"Cleveland Browns","","1.4","0.6","0.7","1.1","0.2","0.0","30.6","398.6","4.9"
""
""
