"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Lamar Jackson","BAL","29.4","19.4","237.2","1.9","0.5","10.5","65.6","0.5","0.3","25.0"
"Patrick Mahomes II","KC","35.9","23.8","291.8","2.1","0.5","3.7","20.1","0.2","0.1","22.0"
"Dak Prescott","DAL","36.3","24.0","298.0","2.0","0.6","3.7","18.3","0.2","0.2","21.7"
"Josh Allen","BUF","33.5","20.0","235.7","1.5","0.8","8.5","48.8","0.6","0.3","21.7"
"Kyler Murray","ARI","34.9","22.7","244.9","1.6","0.8","6.9","40.3","0.4","0.1","20.6"
"Russell Wilson","SEA","32.9","21.9","259.4","1.9","0.5","4.2","24.4","0.1","0.2","19.7"
"Aaron Rodgers","GB","36.8","23.4","275.0","2.0","0.3","3.1","13.9","0.1","0.2","19.6"
"Deshaun Watson","HOU","35.1","22.7","262.7","1.6","0.8","5.5","31.8","0.2","0.2","19.4"
"Matt Ryan","ATL","40.8","27.6","317.5","1.9","0.8","2.1","7.9","0.1","0.2","19.3"
"Tom Brady","TB","36.6","23.3","279.8","2.1","0.6","1.9","3.3","0.1","0.1","18.9"
"Cam Newton","NE","33.4","20.5","235.7","1.2","0.9","8.6","39.5","0.4","0.2","18.8"
"Drew Brees","NO","33.6","24.0","273.6","1.9","0.5","1.1","2.2","0.1","0.1","18.0"
"Ryan Tannehill","TEN","27.7","18.8","235.7","1.8","0.6","3.5","16.1","0.1","0.2","17.6"
"Matthew Stafford","DET","36.8","23.5","279.3","1.7","0.8","2.2","8.5","0.0","0.2","17.0"
"Mitchell Trubisky","CHI","34.1","21.4","241.0","1.6","0.8","3.7","18.3","0.1","0.2","16.9"
"Carson Wentz","PHI","36.3","23.3","258.8","1.7","0.8","3.1","12.6","0.1","0.3","16.7"
"Jared Goff","LAR","37.2","23.3","283.2","1.6","0.9","3.5","7.4","0.1","0.2","16.7"
"Ben Roethlisberger","PIT","35.0","23.0","264.5","1.7","0.9","1.8","5.5","0.1","0.1","16.5"
"Baker Mayfield","CLE","34.2","20.7","252.9","1.7","1.0","2.2","10.1","0.1","0.1","16.1"
"Kirk Cousins","MIN","32.9","22.3","253.9","1.6","0.7","2.8","7.8","0.1","0.2","16.0"
"Philip Rivers","IND","35.0","23.1","266.2","1.7","0.9","1.2","3.2","0.0","0.2","15.7"
"Teddy Bridgewater","CAR","37.4","24.0","261.4","1.3","0.6","3.4","11.2","0.1","0.1","15.6"
"Gardner Minshew II","JAC","34.8","21.6","247.6","1.3","0.7","4.1","19.9","0.1","0.3","15.4"
"Jimmy Garoppolo","SF","31.0","20.7","246.2","1.6","0.8","2.6","7.5","0.1","0.2","15.3"
"Tyrod Taylor","LAC","32.7","19.7","227.0","1.3","0.7","4.2","20.2","0.1","0.2","15.1"
"Derek Carr","LV","33.5","22.7","254.9","1.4","0.7","1.5","4.3","0.0","0.2","14.8"
"Joe Burrow","CIN","34.5","21.8","232.5","1.2","0.9","4.1","21.7","0.1","0.2","14.7"
"Daniel Jones","NYG","35.2","22.3","239.8","1.3","1.0","3.6","19.2","0.1","0.4","14.2"
"Ryan Fitzpatrick","MIA","34.7","21.1","240.6","1.1","1.1","3.5","16.1","0.1","0.1","13.8"
"Dwayne Haskins","WAS","32.5","19.5","221.3","1.2","0.9","2.8","10.7","0.0","0.2","12.9"
"Drew Lock","DEN","32.8","20.8","224.9","1.0","0.8","3.1","13.5","0.0","0.2","12.7"
"Sam Darnold","NYJ","30.8","18.4","208.1","1.0","1.1","2.2","7.7","0.1","0.2","10.9"
"Chris Streveler","ARI","0.0","0.0","29.5","0.1","0.1","0.0","10.1","0.1","0.0","2.7"
"Jalen Hurts","PHI","4.3","2.4","21.8","0.1","0.2","1.1","5.3","0.1","0.0","1.5"
"Taysom Hill","NO","2.9","1.4","13.7","0.0","0.1","1.5","9.5","0.0","0.0","1.5"
"Justin Herbert","LAC","4.7","2.7","23.9","0.1","0.2","0.6","3.0","0.0","0.0","1.2"
"Nick Foles","CHI","5.1","3.0","28.7","0.1","0.2","0.6","1.3","0.0","0.1","1.0"
"Robert Griffin III","BAL","4.2","2.4","24.5","0.1","0.2","0.8","2.6","0.0","0.1","1.0"
"Jameis Winston","NO","4.5","2.6","24.7","0.1","0.2","0.7","1.6","0.0","0.1","0.9"
"Matt Schaub","ATL","4.8","2.9","27.8","0.1","0.2","0.4","0.4","0.0","0.1","0.9"
"Chase Daniel","DET","4.9","2.6","25.5","0.1","0.2","0.7","1.6","0.0","0.1","0.9"
"Blaine Gabbert","TB","4.2","2.4","21.7","0.1","0.2","0.6","0.8","0.0","0.0","0.9"
"Mike White","NYJ","0.0","0.0","19.9","0.1","0.1","0.0","0.0","0.0","0.0","0.9"
"Kyle Allen","WAS","4.2","2.5","23.4","0.1","0.2","0.3","0.3","0.0","0.0","0.9"
"Tua Tagovailoa","MIA","4.7","2.6","21.7","0.1","0.2","0.5","1.4","0.0","0.0","0.9"
"Andy Dalton","DAL","4.5","2.5","21.5","0.0","0.1","0.7","1.2","0.0","0.0","0.8"
"John Wolford","LAR","1.2","0.7","13.0","0.0","0.0","0.1","2.2","0.0","0.0","0.8"
"Alex Smith","WAS","1.2","0.8","8.1","0.1","0.0","0.2","1.0","0.0","0.0","0.8"
"Mason Rudolph","PIT","4.2","2.4","21.5","0.1","0.2","0.6","0.9","0.0","0.0","0.8"
"Chad Henne","KC","4.4","2.7","25.3","0.1","0.2","0.3","0.5","0.0","0.1","0.8"
"Nathan Peterman","LV","4.6","2.5","23.8","0.1","0.2","0.7","1.5","0.0","0.1","0.8"
"Logan Woodside","TEN","0.8","0.6","14.3","0.1","0.1","0.1","0.2","0.0","0.0","0.8"
"Case Keenum","CLE","4.1","2.3","22.3","0.1","0.2","0.5","1.1","0.0","0.1","0.8"
"Brian Hoyer","NE","1.2","0.8","8.5","0.1","0.0","0.4","0.3","0.0","0.0","0.8"
"Ryan Finley","CIN","1.5","0.9","11.6","0.1","0.0","0.2","0.5","0.0","0.0","0.8"
"James Morgan","NYJ","0.0","0.0","17.0","0.1","0.1","0.0","0.1","0.0","0.0","0.8"
"Nick Mullens","SF","4.4","2.4","23.1","0.1","0.2","0.7","1.0","0.0","0.1","0.7"
"David Blough","DET","1.4","0.8","10.5","0.1","0.1","0.3","1.2","0.0","0.0","0.7"
"Nate Sudfeld","PHI","4.2","2.5","23.4","0.1","0.2","0.4","0.3","0.0","0.1","0.7"
"Colt McCoy","NYG","1.5","0.9","12.8","0.1","0.1","0.1","0.4","0.0","0.0","0.7"
"Jacoby Brissett","IND","4.2","2.3","19.4","0.0","0.1","0.6","0.9","0.0","0.0","0.6"
"Matt Barkley","BUF","3.9","2.1","19.9","0.1","0.2","0.6","0.9","0.0","0.1","0.6"
"Jeff Driskel","DEN","3.3","1.9","17.7","0.0","0.1","0.5","0.9","0.0","0.0","0.5"
"Jarrett Stidham","NE","4.6","2.4","22.5","0.0","0.2","0.6","1.1","0.0","0.1","0.5"
"Geno Smith","SEA","4.2","2.4","22.7","0.0","0.2","0.4","0.4","0.0","0.1","0.5"
"Phillip Walker","CAR","3.7","2.1","19.6","0.0","0.2","0.5","1.0","0.0","0.1","0.5"
"Mike Glennon","JAC","0.0","0.0","8.0","0.1","0.1","0.0","0.0","0.0","0.0","0.4"
"AJ McCarron","HOU","1.3","0.8","8.9","0.0","0.0","0.1","0.3","0.0","0.0","0.4"
"Brett Hundley","ARI","3.1","1.8","16.5","0.0","0.2","0.4","1.2","0.0","0.0","0.4"
"Sean Mannion","MIN","1.1","0.8","8.0","0.0","0.0","0.3","0.2","0.0","0.0","0.3"
"Jake Luton","JAC","1.0","0.7","6.8","0.0","0.0","0.1","0.2","0.0","0.0","0.3"
"Tim Boyle","GB","0.9","0.6","6.5","0.0","0.0","0.2","0.2","0.0","0.0","0.3"
"Jacob Eason","IND","0.6","0.4","3.8","0.0","0.0","0.0","0.1","0.0","0.0","0.2"
"Jake Fromm","BUF","0.3","0.2","2.0","0.0","0.0","0.0","0.1","0.0","0.0","0.1"
""
""
