"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Derrick Henry","TEN","21.9","106.9","0.9","1.7","15.0","0.1","0.1","17.7"
"Ezekiel Elliott","DAL","20.5","90.2","0.7","3.7","30.9","0.2","0.1","17.4"
"Christian McCaffrey","CAR","17.2","69.8","0.6","6.3","52.6","0.2","0.1","17.0"
"Saquon Barkley","NYG","17.6","75.3","0.5","4.5","36.2","0.1","0.1","14.9"
"Alvin Kamara","NO","12.4","55.6","0.6","5.7","45.5","0.2","0.1","14.7"
"Dalvin Cook","MIN","16.7","72.6","0.6","3.7","31.1","0.1","0.1","14.3"
"Josh Jacobs","LV","18.0","80.2","0.6","2.7","22.2","0.0","0.1","14.1"
"Aaron Jones","GB","14.0","63.0","0.7","3.0","23.0","0.1","0.1","13.6"
"Clyde Edwards-Helaire","KC","16.1","73.6","0.6","2.5","22.0","0.1","0.1","13.6"
"Joe Mixon","CIN","17.4","76.4","0.6","2.5","19.1","0.1","0.1","13.2"
"Raheem Mostert","SF","14.5","70.4","0.6","2.1","20.6","0.1","0.1","13.1"
"Jonathan Taylor","IND","14.8","67.5","0.5","2.7","25.2","0.1","0.1","13.1"
"Nick Chubb","CLE","16.1","79.9","0.6","1.7","12.5","0.1","0.1","12.7"
"Kenyan Drake","ARI","14.4","63.6","0.6","3.2","23.7","0.1","0.1","12.7"
"Todd Gurley II","ATL","14.3","58.5","0.6","2.7","19.9","0.1","0.1","11.6"
"Chris Carson","SEA","14.6","63.2","0.5","2.8","19.5","0.1","0.1","11.6"
"David Johnson","HOU","14.3","54.7","0.4","3.3","30.6","0.1","0.1","11.6"
"Austin Ekeler","LAC","11.6","53.8","0.3","3.8","33.9","0.2","0.1","11.2"
"Ronald Jones II","TB","14.8","58.3","0.6","2.0","17.3","0.0","0.1","11.1"
"Melvin Gordon III","DEN","14.4","57.4","0.5","3.0","21.7","0.1","0.1","10.9"
"Miles Sanders","PHI","12.5","58.8","0.3","2.8","24.0","0.1","0.1","10.7"
"Mark Ingram II","BAL","11.1","51.5","0.5","1.9","14.9","0.1","0.1","9.9"
"Malcolm Brown","LAR","11.7","51.0","0.5","1.7","12.9","0.0","0.1","9.8"
"Kareem Hunt","CLE","9.5","41.1","0.3","3.6","30.5","0.2","0.1","9.8"
"David Montgomery","CHI","14.8","58.4","0.4","1.5","11.9","0.1","0.1","9.6"
"James Robinson","JAC","14.6","59.6","0.3","1.8","14.3","0.1","0.1","9.1"
"Devin Singletary","BUF","11.4","55.0","0.2","2.6","19.8","0.1","0.1","9.0"
"Benny Snell Jr.","PIT","13.1","54.2","0.3","1.0","8.0","0.0","0.1","8.1"
"James Conner","PIT","9.7","40.7","0.2","2.6","20.1","0.1","0.1","7.9"
"Antonio Gibson","WAS","8.8","41.1","0.2","2.7","22.1","0.1","0.1","7.8"
"Nyheim Hines","IND","6.9","27.9","0.2","3.8","30.4","0.1","0.1","7.6"
"James White","NE","4.4","17.0","0.1","4.4","38.3","0.3","0.1","7.6"
"Adrian Peterson","DET","12.4","51.3","0.2","1.3","9.8","0.0","0.1","7.5"
"Zack Moss","BUF","10.3","40.5","0.2","1.7","13.7","0.1","0.1","7.0"
"J.K. Dobbins","BAL","9.8","40.5","0.2","1.3","10.0","0.1","0.1","6.6"
"Frank Gore","NYJ","11.7","45.4","0.1","1.6","11.5","0.0","0.1","6.6"
"Sony Michel","NE","10.7","45.6","0.2","0.7","4.8","0.0","0.0","6.4"
"Latavius Murray","NO","9.9","38.7","0.2","1.6","10.5","0.0","0.1","6.3"
"Tarik Cohen","CHI","6.3","24.0","0.1","3.5","25.3","0.1","0.1","6.0"
"Peyton Barber","WAS","10.8","38.3","0.2","0.9","6.1","0.0","0.1","5.7"
