"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Davante Adams","GB","7.6","97.5","0.8","0.0","0.0","0.0","0.1","14.5"
"Julio Jones","ATL","7.1","102.1","0.5","0.1","0.3","0.0","0.1","13.1"
"DeAndre Hopkins","ARI","6.8","86.1","0.6","0.1","0.5","0.0","0.1","12.4"
"Tyreek Hill","KC","5.4","77.1","0.6","0.7","5.0","0.0","0.0","12.0"
"Michael Thomas","NO","7.3","85.0","0.6","0.0","0.0","0.0","0.1","11.9"
"Amari Cooper","DAL","5.9","81.0","0.6","0.1","0.6","0.0","0.1","11.7"
"Adam Thielen","MIN","5.7","79.2","0.6","0.2","1.1","0.0","0.1","11.6"
"Calvin Ridley","ATL","5.8","75.8","0.6","0.3","1.5","0.0","0.1","11.5"
"Allen Robinson II","CHI","6.0","75.0","0.5","0.2","0.6","0.0","0.1","10.7"
"Tyler Lockett","SEA","5.3","72.5","0.5","0.4","1.8","0.0","0.0","10.6"
"Robert Woods","LAR","5.9","76.6","0.4","0.9","5.3","0.0","0.1","10.6"
"Mike Evans","TB","4.5","67.4","0.6","0.0","0.2","0.0","0.0","10.3"
"Cooper Kupp","LAR","5.4","69.5","0.5","0.1","0.6","0.0","0.0","10.2"
"Terry McLaurin","WAS","4.9","72.5","0.5","0.1","0.2","0.0","0.0","10.2"
"D.J. Moore","CAR","5.7","76.0","0.4","0.5","3.5","0.0","0.1","10.2"
"Michael Gallup","DAL","4.5","71.7","0.5","0.1","0.2","0.0","0.0","10.1"
"Marquise Brown","BAL","4.6","65.6","0.5","0.5","3.0","0.0","0.0","10.1"
"JuJu Smith-Schuster","PIT","5.2","68.6","0.5","0.0","0.1","0.0","0.0","10.0"
"Stefon Diggs","BUF","5.2","69.3","0.5","0.4","2.8","0.0","0.0","10.0"
"D.K. Metcalf","SEA","4.2","65.3","0.6","0.1","0.6","0.0","0.1","9.9"
"T.Y. Hilton","IND","4.9","70.4","0.5","0.1","0.2","0.0","0.0","9.8"
"Will Fuller V","HOU","5.2","70.5","0.5","0.2","0.9","0.0","0.0","9.8"
"Chris Godwin","TB","5.1","67.1","0.5","0.3","1.1","0.0","0.0","9.7"
"A.J. Green","CIN","5.0","68.3","0.4","0.0","0.1","0.0","0.0","9.4"
"Keenan Allen","LAC","5.7","65.4","0.4","0.3","1.9","0.0","0.0","9.1"
"Julian Edelman","NE","5.2","63.5","0.4","0.5","3.3","0.0","0.1","9.0"
"Darius Slayton","NYG","4.1","59.5","0.5","0.1","0.7","0.0","0.0","9.0"
"D.J. Chark Jr.","JAC","4.8","61.5","0.5","0.2","1.1","0.0","0.0","9.0"
"Jarvis Landry","CLE","4.8","63.7","0.4","0.2","1.1","0.0","0.0","9.0"
"Marvin Jones Jr.","DET","4.6","63.7","0.4","0.1","0.5","0.0","0.0","8.9"
"Odell Beckham Jr.","CLE","4.8","67.9","0.4","0.1","0.6","0.0","0.1","8.9"
"John Brown","BUF","4.1","57.8","0.5","0.3","1.3","0.0","0.0","8.7"
"Emmanuel Sanders","NO","4.6","58.2","0.5","0.1","0.5","0.0","0.0","8.6"
"DeVante Parker","MIA","4.2","61.1","0.4","0.1","0.3","0.0","0.0","8.4"
"Diontae Johnson","PIT","4.7","56.5","0.4","0.3","1.5","0.0","0.1","8.3"
"Anthony Miller","CHI","4.2","54.2","0.4","0.2","1.0","0.0","0.0","8.1"
"Mike Williams","LAC","3.8","57.8","0.3","0.1","0.7","0.0","0.0","7.9"
"Parris Campbell","IND","4.5","51.1","0.4","0.5","3.6","0.0","0.1","7.6"
"Courtland Sutton","DEN","3.8","56.3","0.3","0.1","0.5","0.0","0.0","7.6"
"Allen Lazard","GB","3.5","48.5","0.4","0.1","1.7","0.0","0.0","7.2"
"CeeDee Lamb","DAL","4.3","55.3","0.3","0.2","1.1","0.0","0.1","7.2"
"DeSean Jackson","PHI","3.7","55.0","0.2","0.4","1.7","0.0","0.0","7.2"
"Robby Anderson","CAR","4.1","55.7","0.3","0.2","0.6","0.0","0.0","7.1"
"Sammy Watkins","KC","3.9","55.0","0.3","0.2","1.3","0.0","0.0","7.1"
"Tyler Boyd","CIN","4.7","54.6","0.2","0.2","1.6","0.0","0.0","7.0"
"Preston Williams","MIA","4.1","57.8","0.2","0.1","0.3","0.0","0.0","7.0"
"Henry Ruggs III","LV","4.0","53.5","0.2","0.6","3.1","0.0","0.0","7.0"
"Corey Davis","TEN","4.0","54.1","0.2","0.1","0.6","0.0","0.0","6.8"
"Sterling Shepard","NYG","4.7","53.4","0.2","0.2","1.9","0.0","0.0","6.7"
"Breshad Perriman","NYJ","3.4","49.8","0.2","0.2","0.8","0.0","0.0","6.4"
